Mchirp_Msun,LambdaTilde
1.420844380793308881e+00,1.612131692491775766e+03
1.420274732553755692e+00,1.607626777991970812e+03
1.419705084314202281e+00,1.605393879157641095e+03
1.419135436074649093e+00,1.605216686590333211e+03
1.418565787835095904e+00,1.606523967220771056e+03
1.417996139595542493e+00,1.608464350029899151e+03
1.417426491355989304e+00,1.609994171779469298e+03
1.416856843116435893e+00,1.609956703018305916e+03
1.416287194876882705e+00,1.607141183226374778e+03
1.415717546637329738e+00,1.600315138407576342e+03
1.415366125589116120e+00,1.593048532466212691e+03
1.415147898397776105e+00,1.588012149330569628e+03
1.414578250158223138e+00,1.568450819170358272e+03
1.414476861848593892e+00,1.563877517720153719e+03
1.414008601918669505e+00,1.541333396470284924e+03
1.413892555981953958e+00,1.534706502974094064e+03
1.413438953679116317e+00,1.509570829722052849e+03
1.413372223561511820e+00,1.505535488228035319e+03
1.412869305439563128e+00,1.476673351236621329e+03
1.412864152569914378e+00,1.476364473481975892e+03
1.412390122797713365e+00,1.447193458735916920e+03
1.412299657200009717e+00,1.440448790390141539e+03
1.412007669261953646e+00,1.418022443989857948e+03
1.411771073358810025e+00,1.388851429243798520e+03
1.411730008960456528e+00,1.371925678974400398e+03
1.411699668241189309e+00,1.359680414497739548e+03
1.411730008960456528e+00,1.350369590960027153e+03
1.411794559161839269e+00,1.330509399751680121e+03
1.412040942627128759e+00,1.301338385005621149e+03
1.412299657200009717e+00,1.280883054035283976e+03
1.412416100384407791e+00,1.272167370259561721e+03
1.412869305439563128e+00,1.243422480715359143e+03
1.412876395150292286e+00,1.242996355513502749e+03
1.413356111513742963e+00,1.213825340767443549e+03
1.413438953679116317e+00,1.208145539459498195e+03
1.413777098863110870e+00,1.184654326021384350e+03
1.414008601918669505e+00,1.162688057180796704e+03
1.414079359188538110e+00,1.155483311275324922e+03
1.414214314877676015e+00,1.126312296529265950e+03
1.414176510709326262e+00,1.097141281783206523e+03
1.414008601918669505e+00,1.071969770235185706e+03
1.413982590429527342e+00,1.067970267037147551e+03
1.413676715159464248e+00,1.038799252291088123e+03
1.413438953679116317e+00,1.018948069846656608e+03
1.413332483140658846e+00,1.009628237545029265e+03
1.412990822986994299e+00,9.804572227989700650e+02
1.412869305439563128e+00,9.692781635867439718e+02
1.412671630657613253e+00,9.512862080529108653e+02
1.412384543262747982e+00,9.221151933068516655e+02
1.412299657200009717e+00,9.125260540010798422e+02
1.412114867303060128e+00,8.929441785607924658e+02
1.411863883301038403e+00,8.637731638147332660e+02
1.411730008960456528e+00,8.474674610439255957e+02
1.411618559765409397e+00,8.346021490686740663e+02
1.411369363680109679e+00,8.054311343226148665e+02
1.411160360720903117e+00,7.813673612871928071e+02
1.411115039886195355e+00,7.762601195765557804e+02
1.410834842467673322e+00,7.470891048304964670e+02
1.410590712481349929e+00,7.228909122749342941e+02
1.410539224707169748e+00,7.179180900844371536e+02
1.410207127292078200e+00,6.887470753383780675e+02
1.410021064241796962e+00,6.732748243738984684e+02
1.409848855191010664e+00,6.595760605923188677e+02
1.409465533562550776e+00,6.304050458462596680e+02
1.409451416002243329e+00,6.293963495156100407e+02
1.409041111696169635e+00,6.012340311002004682e+02
1.408881767762690140e+00,5.904951548886371029e+02
1.408599170064939621e+00,5.720630163541414959e+02
1.408312119523136730e+00,5.533267137209179509e+02
1.408147924769188597e+00,5.428920016080822961e+02
1.407742471283583541e+00,5.163927394564967699e+02
1.407700612988073807e+00,5.137209868620230964e+02
1.407266542352099581e+00,4.845499721159638966e+02
1.407172823044030352e+00,4.773599616599092883e+02
1.406880475956543863e+00,4.553789573699046969e+02
1.406603174804476941e+00,4.280461381226684807e+02
1.406584112779525553e+00,4.262079426238454971e+02
1.406369112745129657e+00,3.970369278777862974e+02
1.406260762834316225e+00,3.678659131317270976e+02
1.406243294422311330e+00,3.386948983856678979e+02
1.406302613170551608e+00,3.095238836396086981e+02
1.406430431227535083e+00,2.803528688935494984e+02
1.406603174804476941e+00,2.547189652160639639e+02
1.406624294036003864e+00,2.511818541474902986e+02
1.406861780137927287e+00,2.220108394014310988e+02
1.407172823044030352e+00,1.941597821559583963e+02
1.407186278289531245e+00,1.928398246553720128e+02
1.407568979961616673e+00,1.636688099093128130e+02
1.407742471283583541e+00,1.534004472439523568e+02
1.408050075444241100e+00,1.344977951632536133e+02
1.408312119523136730e+00,1.214990274002821167e+02
1.408640690798131923e+00,1.053267804171944135e+02
1.408881767762690140e+00,9.521254338140956008e+01
1.409365404720198667e+00,7.615576567113521378e+01
1.409451416002243329e+00,7.307465516433435937e+01
1.410021064241796740e+00,5.383491865245628105e+01
1.410249077473258561e+00,4.698475092507601403e+01
1.410590712481349929e+00,3.695883350450175442e+01
1.411160360720903117e+00,2.262347124028249112e+01
1.411379300399812298e+00,1.781373617901681428e+01
1.411730008960456528e+00,9.662084024973013996e+00
1.412299657200009717e+00,-1.504398138434783760e+00
1.412869305439563128e+00,-1.043314504203106807e+01
1.412935800489071525e+00,-1.135727856704227179e+01
1.413438953679116317e+00,-1.946952663285663832e+01
1.414008601918669505e+00,-2.699775839337655725e+01
1.414578250158222916e+00,-3.316834715782817966e+01
1.415147898397776105e+00,-3.831003877299409055e+01
1.415425186674709623e+00,-4.052829331310147154e+01
1.415717546637329294e+00,-4.353414405387558617e+01
1.416287194876882705e+00,-4.883740370582524548e+01
1.416856843116435893e+00,-5.350938798611019820e+01
1.417426491355989304e+00,-5.766154624943697371e+01
1.417996139595542493e+00,-6.136433265109082669e+01
1.418565787835095904e+00,-6.466603341131347804e+01
1.419135436074649093e+00,-6.760624335343777602e+01
1.419585742658006300e+00,-6.969930805916067129e+01
1.419705084314202281e+00,-7.049579705853562928e+01
