# m1_source_msun	m2_source_msun	lambda_1	lambda_2  (run IMRPhenomPv2NRT_lowSpin_posterior, z=0.0099)
1.419912e+00	1.307175e+00	2.961554e+02	2.429141e+02
1.384457e+00	1.340166e+00	5.555285e+02	2.854509e+02
1.462818e+00	1.269573e+00	3.504974e+02	1.697220e+02
1.373183e+00	1.351083e+00	4.137902e+02	1.278768e+02
1.546755e+00	1.203394e+00	2.935442e+01	5.849510e+02
1.499598e+00	1.239515e+00	7.073436e+01	1.099768e+03
1.459797e+00	1.272205e+00	2.810855e+02	1.101586e+03
1.372707e+00	1.351573e+00	5.558372e+02	6.577028e+02
1.404076e+00	1.321471e+00	3.057268e+02	3.295702e+02
1.555459e+00	1.196878e+00	4.677599e+02	4.747812e+02
1.546257e+00	1.203746e+00	1.160091e+01	8.365110e+02
1.518408e+00	1.224610e+00	2.180116e+02	3.095544e+02
1.367425e+00	1.357158e+00	1.005723e+03	4.217113e+02
1.551154e+00	1.200152e+00	4.788021e+02	2.401028e+02
1.595787e+00	1.168402e+00	7.158796e+02	3.621888e+02
1.588063e+00	1.173860e+00	4.663365e+02	9.158967e+02
1.398914e+00	1.326446e+00	7.764205e+02	3.924590e+01
1.489514e+00	1.247254e+00	4.831007e+01	2.794668e+02
1.476710e+00	1.258059e+00	2.397608e+02	1.634556e+03
1.463340e+00	1.269097e+00	8.479549e+01	6.734104e+02
1.402819e+00	1.322925e+00	1.193981e+03	7.668903e+01
1.594252e+00	1.169299e+00	1.790228e+02	1.414743e+02
1.573230e+00	1.184229e+00	6.094779e+02	5.180756e+02
1.654809e+00	1.129493e+00	1.343121e+02	1.870638e+02
1.544045e+00	1.205260e+00	7.603431e+01	3.380006e+02
1.501422e+00	1.237958e+00	3.050748e+02	8.457888e+01
1.536378e+00	1.211173e+00	2.995598e+02	3.756444e+02
1.524625e+00	1.220192e+00	2.038948e+02	1.262210e+03
1.515651e+00	1.227037e+00	1.831947e+02	1.550025e+03
1.493668e+00	1.244059e+00	9.838281e+01	4.434692e+02
1.481126e+00	1.254352e+00	3.645171e+01	1.076551e+03
1.629432e+00	1.145985e+00	4.860247e+01	2.590876e+03
1.591196e+00	1.171484e+00	1.712482e+02	6.448690e+01
1.428831e+00	1.299422e+00	1.088671e+02	2.115190e+03
